jidu,3m
2013Q2,4.294427272727272
2013Q3,4.69971818181818
2013Q4,4.907306451612904
2014Q1,5.556435
2014Q2,5.17788870967742
2014Q3,4.683237878787878
2014Q4,4.481891935483872
2015Q1,4.915358333333333
2015Q2,3.6496725806451606
2015Q3,3.135883076923077
2015Q4,3.0755725806451606
2016Q1,2.944124590163934
2016Q2,2.9106225806451618
2016Q3,2.830966153846155
2016Q4,2.9775467741935477
2017Q1,4.077695081967213
2017Q2,4.473503225806452
2017Q3,4.337366666666666
2017Q4,4.605
2018Q1,4.696493442622951
2018Q2,4.190203225806452
2018Q3,3.1077484848484858
2018Q4,3.037023333333333
2019Q1,2.8718879310344825
2019Q2,2.8652333333333346
2019Q3,2.6641876923076926
2019Q4,2.9415557377049177
2020Q1,2.5151694915254246
2020Q2,1.59985
2020Q3,2.5326818181818176
2020Q4,2.939083333333332
2021Q1,2.7104396551724137
2021Q2,2.602260869565218
